return_id,order_id,order_number,customer_id,product_id,return_date,quantity_returned,unit_price,return_reason
1,481,ORD-000481,154,37,2024-01-29,3,24.99,Damaged in shipping
2,1654,ORD-001654,180,8,2022-04-26,2,29.99,Changed mind
3,1291,ORD-001291,98,28,2023-07-26,3,39.99,Defective product
4,820,ORD-000820,117,14,2022-12-20,2,34.99,Wrong item received
5,1241,ORD-001241,29,37,2023-05-14,3,24.99,Changed mind
6,334,ORD-000334,21,3,2022-05-27,1,1599.99,Wrong item received
7,452,ORD-000452,106,38,2024-12-31,4,34.99,Damaged in shipping
8,77,ORD-000077,135,26,2023-05-24,1,79.99,Damaged in shipping
9,1381,ORD-001381,179,26,2023-08-17,1,79.99,Wrong item received
10,385,ORD-000385,39,35,2022-03-25,2,24.99,Damaged in shipping
11,1458,ORD-001458,155,34,2023-07-09,2,89.99,Better price found
12,741,ORD-000741,97,37,2022-10-12,1,24.99,Better price found
13,82,ORD-000082,145,20,2022-04-01,1,29.99,Changed mind
14,14,ORD-000014,200,37,2024-02-21,1,24.99,Wrong item received
15,1846,ORD-001846,193,24,2024-08-14,4,89.99,Not as described
16,1925,ORD-001925,198,12,2023-07-14,2,59.99,Defective product
17,505,ORD-000505,127,35,2024-09-08,1,24.99,Defective product
18,1731,ORD-001731,171,6,2022-06-27,2,299.99,Wrong item received
19,872,ORD-000872,188,11,2023-07-31,2,19.99,Not as described
20,1017,ORD-001017,84,32,2023-08-23,4,14.99,Not as described
21,436,ORD-000436,25,7,2023-01-06,1,49.99,Defective product
22,878,ORD-000878,86,8,2024-12-21,3,29.99,Changed mind
23,200,ORD-000200,186,23,2023-04-20,3,49.99,Damaged in shipping
24,613,ORD-000613,111,17,2024-11-27,1,34.99,Defective product
25,528,ORD-000528,176,16,2025-01-25,1,39.99,Better price found
26,341,ORD-000341,56,20,2022-07-04,1,29.99,Changed mind
27,205,ORD-000205,184,18,2022-07-17,2,129.99,Defective product
28,1142,ORD-001142,151,23,2022-02-05,4,49.99,Not as described
